naics	susb_statenaics_firms	yr	state
44	535	2002	HI
48	187	2002	HI
51	80	2002	HI
52	195	2002	HI
53	156	2002	HI
54	306	2002	HI
55	156	2002	HI
56	297	2002	HI
61	109	2002	HI
62	263	2002	HI
71	117	2002	HI
72	673	2002	HI
81	290	2002	HI
95	51	2002	HI
99	0	2002	HI
11	47	2002	ID
21	32	2002	ID
22	23	2002	ID
23	292	2002	ID
31	376	2002	ID
42	522	2002	ID
44	751	2002	ID
48	183	2002	ID
51	128	2002	ID
52	216	2002	ID
53	88	2002	ID
54	291	2002	ID
55	118	2002	ID
56	228	2002	ID
61	57	2002	ID
62	415	2002	ID
71	82	2002	ID
72	522	2002	ID
81	183	2002	ID
95	40	2002	ID
99	0	2002	ID
11	26	2002	IL
21	97	2002	IL
22	75	2002	IL
23	2538	2002	IL
31	5118	2002	IL
42	4104	2002	IL
44	3920	2002	IL
48	1337	2002	IL
51	867	2002	IL
52	1850	2002	IL
53	833	2002	IL
54	2994	2002	IL
55	1289	2002	IL
56	2212	2002	IL
61	847	2002	IL
62	3341	2002	IL
